"Country","Region","Urban","Origin","Year1","Year2","Age","AgeInt","AgeDef","Vitality","ASFR","ASFR1","ASFR2","ASFR3","ASFR3P","ASFR4","ASFR4P","ASFR5P","CPFR","CPFR1","CPFR2","CPFR3","CPFR3P","CPFR4","CPFR4P","CPFR5P","Collection","SourceType","RefCode","Note","Split"
"    AUT","     .","    .","     .",2020,2020,14,-99,"   ACY","       1","0.00011","0.00010","0.00000","0.00000","0.00000","      .","0.00000","      .","0.00000","0.00000","0.00000","0.00000","0.00000","      .","0.00000","      .","      STAT","     vital","    AUT_19","   .",2
"    AUT","     .","    .","     .",2020,2020,15,1,"   ACY","       1","0.00060","0.00059","0.00001","0.00000","0.00000","      .","0.00000","      .","0.00011","0.00010","0.00000","0.00000","0.00000","      .","0.00000","      .","      STAT","     vital","    AUT_19","   .",2
"    AUT","     .","    .","     .",2020,2020,16,1,"   ACY","       1","0.00146","0.00144","0.00002","0.00000","0.00000","      .","0.00000","      .","0.00071","0.00069","0.00001","0.00000","0.00000","      .","0.00000","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,17,1,"   ACY","       1","0.00354","0.00311","0.00040","0.00002","0.00002","      .","0.00000","      .","0.00217","0.00213","0.00003","0.00000","0.00000","      .","0.00000","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,18,1,"   ACY","       1","0.00651","0.00580","0.00059","0.00012","0.00012","      .","0.00000","      .","0.00571","0.00524","0.00043","0.00002","0.00002","      .","0.00000","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,19,1,"   ACY","       1","0.01271","0.01050","0.00210","0.00009","0.00011","      .","0.00002","      .","0.01222","0.01104","0.00102","0.00014","0.00014","      .","0.00000","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,20,1,"   ACY","       1","0.01720","0.01303","0.00367","0.00048","0.00050","      .","0.00002","      .","0.02493","0.02154","0.00312","0.00023","0.00025","      .","0.00002","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,21,1,"   ACY","       1","0.02309","0.01707","0.00508","0.00083","0.00094","      .","0.00011","      .","0.04213","0.03457","0.00679","0.00071","0.00075","      .","0.00004","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,22,1,"   ACY","       1","0.03182","0.02217","0.00767","0.00179","0.00197","      .","0.00018","      .","0.06522","0.05164","0.01187","0.00154","0.00169","      .","0.00015","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,23,1,"   ACY","       1","0.04139","0.02742","0.01135","0.00220","0.00262","      .","0.00042","      .","0.09704","0.07381","0.01954","0.00333","0.00366","      .","0.00033","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,24,1,"   ACY","       1","0.05314","0.03261","0.01546","0.00393","0.00508","      .","0.00115","      .","0.13843","0.10123","0.03089","0.00553","0.00628","      .","0.00075","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,25,1,"   ACY","       1","0.06172","0.03759","0.01853","0.00427","0.00559","      .","0.00132","      .","0.19157","0.13384","0.04635","0.00946","0.01136","      .","0.00190","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,26,1,"   ACY","       1","0.07415","0.04351","0.02312","0.00595","0.00752","      .","0.00157","      .","0.25329","0.17143","0.06488","0.01373","0.01695","      .","0.00322","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,27,1,"   ACY","       1","0.08536","0.04794","0.02769","0.00749","0.00972","      .","0.00223","      .","0.32744","0.21494","0.08800","0.01968","0.02447","      .","0.00479","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,28,1,"   ACY","       1","0.09423","0.05030","0.03291","0.00826","0.01101","      .","0.00275","      .","0.41280","0.26288","0.11569","0.02717","0.03419","      .","0.00702","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,29,1,"   ACY","       1","0.10381","0.05244","0.03779","0.01053","0.01359","      .","0.00306","      .","0.50703","0.31318","0.14860","0.03543","0.04520","      .","0.00977","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,30,1,"   ACY","       1","0.10646","0.05262","0.03828","0.01195","0.01556","      .","0.00361","      .","0.61084","0.36562","0.18639","0.04596","0.05879","      .","0.01283","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,31,1,"   ACY","       1","0.10447","0.04800","0.03924","0.01287","0.01723","      .","0.00436","      .","0.71730","0.41824","0.22467","0.05791","0.07435","      .","0.01644","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,32,1,"   ACY","       1","0.10210","0.04447","0.03946","0.01337","0.01817","      .","0.00480","      .","0.82177","0.46624","0.26391","0.07078","0.09158","      .","0.02080","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,33,1,"   ACY","       1","0.09324","0.03737","0.03774","0.01322","0.01815","      .","0.00493","      .","0.92387","0.51071","0.30337","0.08415","0.10975","      .","0.02560","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,34,1,"   ACY","       1","0.08620","0.03403","0.03452","0.01253","0.01766","      .","0.00513","      .","1.01711","0.54808","0.34111","0.09737","0.12790","      .","0.03053","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,35,1,"   ACY","       1","0.07594","0.02848","0.03017","0.01232","0.01730","      .","0.00498","      .","1.10331","0.58211","0.37563","0.10990","0.14556","      .","0.03566","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,36,1,"   ACY","       1","0.06432","0.02245","0.02543","0.01104","0.01644","      .","0.00540","      .","1.17925","0.61059","0.40580","0.12222","0.16286","      .","0.04064","      .","      STAT","     vital","    AUT_19","   .",0
"    AUT","     .","    .","     .",2020,2020,37,1,"   ACY","       1","0.05448","0.01702","0.02201","0.01037","0.01544","      .","0.00507","      .","1.24357","0.63304","0.43123","0.13326","0.17930","      .","0.04604","      .","      STAT","     vital","    AUT_19","   .",0
